#: table_doi: 10.17182/hepdata.137818.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}\eta}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{p}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: P PB --> CHARGED
#: keyword observables: DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP
#: keyword cmenergies: 5023
#: keyword phrases: Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,,  0.00 TO   5.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-4.875,-5.0,-4.75,18.41,0.04,-0.04,1.21,-1.25
-4.625,-4.75,-4.5,20.09,0.03,-0.03,1.32,-1.37
-4.375,-4.5,-4.25,22.51,0.03,-0.03,1.48,-1.53
-4.125,-4.25,-4.0,24.68,0.03,-0.03,1.62,-1.68
-3.875,-4.0,-3.75,26.47,0.03,-0.03,1.74,-1.8
-3.625,-3.75,-3.5,28.56,0.06,-0.06,1.88,-1.94
-3.375,-3.5,-3.25,32.0,0.03,-0.03,2.0,-2.08
-3.125,-3.25,-3.0,32.36,0.01,-0.01,2.03,-2.1
-2.875,-3.0,-2.75,34.39,0.01,-0.01,2.15,-2.23
-2.625,-2.75,-2.5,36.43,0.01,-0.01,2.28,-2.37
-2.375,-2.5,-2.25,37.83,0.01,-0.01,2.37,-2.46
-2.145,-2.25,-2.04,39.33,0.01,-0.01,2.46,-2.56
-1.975,-2.04,-1.91,40.24,0.01,-0.01,1.21,-1.21
-1.8599999999999999,-1.91,-1.81,40.82,0.01,-0.01,1.21,-1.21
-1.755,-1.81,-1.7,41.17,0.01,-0.01,1.21,-1.22
-1.65,-1.7,-1.6,41.6,0.2,-0.2,1.4,-1.4
-1.55,-1.6,-1.5,42.1,0.1,-0.1,1.4,-1.4
-1.45,-1.5,-1.4,42.4,0.1,-0.1,1.4,-1.4
-1.35,-1.4,-1.3,42.7,0.1,-0.1,1.4,-1.4
-1.25,-1.3,-1.2,43.0,0.1,-0.1,1.4,-1.4
-1.15,-1.2,-1.1,43.1,0.1,-0.1,1.4,-1.4
-1.05,-1.1,-1.0,43.33,0.09,-0.09,1.37,-1.37
-0.95,-1.0,-0.9,43.43,0.09,-0.09,1.36,-1.36
-0.8500000000000001,-0.9,-0.8,43.35,0.09,-0.09,1.35,-1.35
-0.75,-0.8,-0.7,43.49,0.08,-0.08,1.35,-1.35
-0.6499999999999999,-0.7,-0.6,43.57,0.08,-0.08,1.35,-1.35
-0.55,-0.6,-0.5,43.57,0.08,-0.08,1.35,-1.35
-0.45,-0.5,-0.4,43.69,0.08,-0.08,1.34,-1.34
