#: table_doi: 10.17182/hepdata.72886.v2/t1
#: name: Table 1
#: description: Centrality dependence of $v_2$, with two- and multi-particle correlations, integrated over the $p_{\rm T}$ range 0.2 < $p_{\rm T}$ < 5.0 GeV/$c$, at $\sqrt{s_{\rm NN}}$ = 5.02 TeV.

#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 5023.0
#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,"V2{2, |DELTAETA|>1}",stat +,stat -,sys +,sys -
2.5,0.0,5.0,0.02839,0.00057,-0.00057,0.00043,-0.00043
7.5,5.0,10.0,0.04566,0.00064,-0.00064,0.00069,-0.00069
15.0,10.0,20.0,0.06551,0.00037,-0.00037,0.00098,-0.00098
25.0,20.0,30.0,0.08707,0.00044,-0.00044,0.00131,-0.00131
35.0,30.0,40.0,0.0991,0.00055,-0.00055,0.00149,-0.00149
45.0,40.0,50.0,0.10414,0.00073,-0.00073,0.00156,-0.00156
55.0,50.0,60.0,0.10286,0.00107,-0.00107,0.00154,-0.00154
65.0,60.0,70.0,0.09746,0.00186,-0.00186,0.00146,-0.00146
75.0,70.0,80.0,0.08881,0.00438,-0.00438,0.00133,-0.00133

#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,V2{4},stat +,stat -,sys +,sys -
2.5,0.0,5.0,-,0,0,0,0
7.5,5.0,10.0,0.0367,0.00258,-0.00258,0.00062,-0.00062
15.0,10.0,20.0,0.05867,0.00033,-0.00033,0.001,-0.001
25.0,20.0,30.0,0.07798,0.00138,-0.00138,0.00133,-0.00133
35.0,30.0,40.0,0.08673,0.00257,-0.00257,0.00148,-0.00148
45.0,40.0,50.0,0.08903,0.00275,-0.00275,0.00151,-0.00151
55.0,50.0,60.0,0.08351,0.00208,-0.00208,0.00142,-0.00142
65.0,60.0,70.0,0.08062,0.00961,-0.00961,0.00137,-0.00137
75.0,70.0,80.0,-,0,0,0,0

#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,V2{6},stat +,stat -,sys +,sys -
2.5,0.0,5.0,-,0,0,0,0
7.5,5.0,10.0,0.03614,0.00313,-0.00313,0.00061,-0.00061
15.0,10.0,20.0,0.05815,0.00031,-0.00031,0.00099,-0.00099
25.0,20.0,30.0,0.07744,0.00125,-0.00125,0.00132,-0.00132
35.0,30.0,40.0,0.0865,0.00244,-0.00244,0.00147,-0.00147
45.0,40.0,50.0,0.08827,0.00239,-0.00239,0.0015,-0.0015
55.0,50.0,60.0,0.08279,0.00456,-0.00456,0.00141,-0.00141
65.0,60.0,70.0,0.06859,0.01836,-0.01836,0.00117,-0.00117
75.0,70.0,80.0,-,0,0,0,0

#: ETARAP,,,-0.8-0.8
#: PT [GeV c^-1],,,0.2-5.0
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5023.0
CENTRALITY [PCT],CENTRALITY [PCT] LOW,CENTRALITY [PCT] HIGH,V2{8},stat +,stat -,sys +,sys -
2.5,0.0,5.0,-,0,0,0,0
7.5,5.0,10.0,0.03647,0.00298,-0.00298,0.00182,-0.00182
15.0,10.0,20.0,0.05806,0.00035,-0.00035,0.0029,-0.0029
25.0,20.0,30.0,0.07739,0.00127,-0.00127,0.00387,-0.00387
35.0,30.0,40.0,0.08661,0.00241,-0.00241,0.00433,-0.00433
45.0,40.0,50.0,0.08851,0.00223,-0.00223,0.00443,-0.00443
55.0,50.0,60.0,0.08267,0.0061,-0.0061,0.00413,-0.00413
65.0,60.0,70.0,0.06467,0.03986,-0.03986,0.00323,-0.00323
75.0,70.0,80.0,-,0,0,0,0

