#: table_doi: 10.17182/hepdata.146722.v1/t6
#: name: Table 6
#: description: $v_{4}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab6.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0071,0.0003,-0.0003,0.0008,-0.0008
-3.0,-3.12,-2.88,0.0071,0.0004,-0.0004,0.0007,-0.0007
-2.76,-2.88,-2.64,0.0094,0.0003,-0.0003,0.0008,-0.0008
-2.52,-2.64,-2.4,0.0079,0.0002,-0.0002,0.0007,-0.0007
-2.2800000000000002,-2.4,-2.16,0.0093,0.0003,-0.0003,0.0008,-0.0008
-2.04,-2.16,-1.92,0.0081,0.0003,-0.0003,0.0008,-0.0008
-1.7999999999999998,-1.92,-1.68,0.0082,0.0003,-0.0003,0.0008,-0.0008
-1.08,-1.2,-0.96,0.008,0.0007,-0.0007,0.0005,-0.0005
-0.84,-0.96,-0.72,0.0079,0.0001,-0.0001,0.0005,-0.0005
-0.6,-0.72,-0.48,0.008,0.0002,-0.0002,0.0005,-0.0005
-0.36,-0.48,-0.24,0.008,0.0002,-0.0002,0.0005,-0.0005
-0.12,-0.24,0.0,0.0076,0.0002,-0.0002,0.0005,-0.0005
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0076,0.0002,-0.0002,0.0005,-0.0005
0.36,0.24,0.48,0.008,0.0002,-0.0002,0.0005,-0.0005
0.6,0.48,0.72,0.008,0.0002,-0.0002,0.0005,-0.0005
0.84,0.72,0.96,0.0079,0.0001,-0.0001,0.0005,-0.0005
1.08,0.96,1.2,0.008,0.0007,-0.0007,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0082,0.0003,-0.0003,0.0008,-0.0008
2.04,1.92,2.16,0.0081,0.0003,-0.0003,0.0007,-0.0007
2.2800000000000002,2.16,2.4,0.0093,0.0003,-0.0003,0.0008,-0.0008
2.52,2.4,2.64,0.0079,0.0002,-0.0002,0.0007,-0.0007
2.76,2.64,2.88,0.0094,0.0003,-0.0003,0.0008,-0.0008
3.0,2.88,3.12,0.0071,0.0004,-0.0004,0.0006,-0.0006
3.24,3.12,3.36,0.0071,0.0003,-0.0003,0.0006,-0.0006
3.48,3.36,3.6,0.0063,0.0007,-0.0007,0.0005,-0.0005
3.7199999999999998,3.6,3.84,0.0049,0.0007,-0.0007,0.0004,-0.0004
3.96,3.84,4.08,0.0062,0.0006,-0.0006,0.0005,-0.0005
4.2,4.08,4.32,0.0027,0.0008,-0.0008,0.0002,-0.0002
4.4399999999999995,4.32,4.56,0.0015,0.0006,-0.0006,0.0001,-0.0001
4.68,4.56,4.8,9.5e-05,0.000697,-0.000697,9e-06,-9e-06

#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,5 TO 10
