# https://arxiv.org/abs/1612.08966
#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\  \mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties   while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS      Centrality        
#: Centrality [PCT]      7.0
#: EM contamination [PCT]      4.0
#: CENTRALITY [PCT]      70.0-80.0
#$\eta$  $\eta$ LOW  $\eta$ HIGH  $\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$  stat +  stat -  sys +  sys -
-3.375  -3.5  -3.25  45.4  0.2  -0.2  2.0  -2.0
-3.125  -3.25  -3.0  46.0  0.1  -0.1  2.1  -2.1
-2.875  -3.0  -2.75  46.0  0.1  -0.1  2.1  -2.1
-2.625  -2.75  -2.5  46.5  0.1  -0.1  2.1  -2.1
-2.375  -2.5  -2.25  46.8  0.1  -0.1  2.1  -2.1
-2.125  -2.25  -2.0  46.7  0.1  -0.1  2.1  -2.1
-1.875  -2.0  -1.75  47.3  0.1  -0.1  0.9  -0.9
-1.625  -1.75  -1.5  47.9  0.2  -0.2  1.0  -1.0
-1.375  -1.5  -1.25  48.2  0.1  -0.1  1.0  -1.0
-1.125  -1.25  -1.0  47.6  0.1  -0.1  0.9  -0.9
-0.875  -1.0  -0.75  46.7  0.1  -0.1  0.9  -0.9
-0.625  -0.75  -0.5  45.5  0.1  -0.1  0.9  -0.9
-0.375  -0.5  -0.25  44.6  0.1  -0.1  0.8  -0.8
-0.125  -0.25  0.0  44.1  0.1  -0.1  0.8  -0.8
0.125  0.0  0.25  44.1  0.1  -0.1  0.8  -0.8
0.375  0.25  0.5  44.6  0.1  -0.1  0.8  -0.8
0.625  0.5  0.75  45.5  0.1  -0.1  0.9  -0.9
0.875  0.75  1.0  46.7  0.1  -0.1  0.9  -0.9
1.125  1.0  1.25  47.6  0.1  -0.1  0.9  -0.9
1.375  1.25  1.5  48.2  0.1  -0.1  1.0  -1.0
1.625  1.5  1.75  47.9  0.2  -0.2  1.0  -1.0
1.875  1.75  2.0  47.3  0.1  -0.1  0.9  -0.9
2.125  2.0  2.25  46.7  0.1  -0.1  2.1  -2.1
2.375  2.25  2.5  46.8  0.1  -0.1  2.1  -2.1
2.625  2.5  2.75  46.5  0.1  -0.1  2.1  -2.1
2.875  2.75  3.0  46.0  0.1  -0.1  2.1  -2.1
3.125  3.0  3.25  46.0  0.1  -0.1  2.1  -2.1
3.375  3.25  3.5  45.4  0.2  -0.2  2.0  -2.0
3.625  3.5  3.75  41.4  0.2  -0.2  2.7  -2.8
3.875  3.75  4.0  39.3  0.1  -0.1  2.6  -2.7
4.125  4.0  4.25  37.4  0.1  -0.1  2.5  -2.5
4.375  4.25  4.5  36.8  0.1  -0.1  2.4  -2.5
4.625  4.5  4.75  36.6  0.1  -0.1  2.4  -2.5
4.875  4.75  5.0  35.7  0.1  -0.1  2.3  -2.4
