#: table_doi: 10.17182/hepdata.85727.v3/t8
#: name: Table 8
#: description: Average transverse momentum vs centrality percentage for PbPb and XeXe. And the ratio between collision systems.
#: data_file: Fig7_MeanPt.yaml
#: keyword reactions: NUCLEUS NUCLEUS --> CHARGED X
#: keyword observables: <p_{T}>
#: keyword cmenergies: 5440 | 5020
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X,,
#: SQRT(S)/NUCLEON,,,5.02 TeV,,
Centrality (%),Centrality (%) LOW,Centrality (%) HIGH,< PT (XEXE) >,sys +,sys -
2.5,0.0,5.0,0.682584,0.012727,-0.012727
7.5,5.0,10.0,0.68857,0.020015,-0.020015
15.0,10.0,20.0,0.682211,0.016462,-0.016462
25.0,20.0,30.0,0.668732,0.012266,-0.012266
35.0,30.0,40.0,0.660364,0.011546,-0.011546
45.0,40.0,50.0,0.645832,0.012585,-0.012585
55.0,50.0,60.0,0.631003,0.011557,-0.011557
65.0,60.0,70.0,0.612687,0.0083462,-0.0083462
75.0,70.0,80.0,0.592561,0.0077839,-0.0077839

#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X,,
#: SQRT(S)/NUCLEON,,,5.02 TeV,,
Centrality (%),Centrality (%) LOW,Centrality (%) HIGH,< PT (PBPB) >,sys +,sys -
2.5,0.0,5.0,0.681308,0.009314,-0.009314
7.5,5.0,10.0,0.682536,0.0095455,-0.0095455
15.0,10.0,20.0,0.682634,0.0085707,-0.0085707
25.0,20.0,30.0,0.677484,0.0080833,-0.0080833
35.0,30.0,40.0,0.66835,0.0073624,-0.0073624
45.0,40.0,50.0,0.653346,0.0071342,-0.0071342
55.0,50.0,60.0,0.635875,0.0069199,-0.0069199
65.0,60.0,70.0,0.614354,0.0064285,-0.0064285
75.0,70.0,80.0,0.594427,0.0060538,-0.0060538

#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X,,
#: SQRT(S)/NUCLEON,,,5.02 TeV,,
Centrality (%),Centrality (%) LOW,Centrality (%) HIGH,< PT (XeXe) > / < PT (PBPB) >,sys +,sys -
2.5,0.0,5.0,1.001873,0.02312,-0.02312
7.5,5.0,10.0,1.008841,0.032256,-0.032256
15.0,10.0,20.0,0.99938,0.027201,-0.027201
25.0,20.0,30.0,0.987082,0.021881,-0.021881
35.0,30.0,40.0,0.988051,0.020665,-0.020665
45.0,40.0,50.0,0.988499,0.022366,-0.022366
55.0,50.0,60.0,0.992338,0.021304,-0.021304
65.0,60.0,70.0,0.997287,0.017177,-0.017177
75.0,70.0,80.0,0.996861,0.0166215,-0.0166215

