#: table_doi: 10.17182/hepdata.104923.v1/t3
#: name: Table 3
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_3.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,PB PB --> K+ X, PB PB --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,148.31,1.0043,-1.0043,8.3665,-8.3665,2.888,-2.888
0.275,0.25,0.3,168.53,0.64631,-0.64631,6.6065,-6.6065,3.0488,-3.0488
0.32499999999999996,0.3,0.35,187.27,0.45203,-0.45203,6.4526,-6.4526,2.5704,-2.5704
0.375,0.35,0.4,202.16,0.79993,-0.79993,9.7548,-9.7548,2.7186,-2.7186
0.42500000000000004,0.4,0.45,213.48,0.83243,-0.83243,10.651,-10.651,2.7021,-2.7021
0.475,0.45,0.5,229.8,1.3162,-1.3162,7.1357,-7.1357,2.1733,-2.1733
0.525,0.5,0.55,240.17,1.6236,-1.6236,9.8958,-9.8958,2.6981,-2.6981
0.575,0.55,0.6,238.48,1.6809,-1.6809,10.912,-10.912,2.7287,-2.7287
0.625,0.6,0.65,232.7,1.7445,-1.7445,12.212,-12.212,2.8589,-2.8589
0.675,0.65,0.7,219.33,1.0876,-1.0876,7.4652,-7.4652,2.8723,-2.8723
0.725,0.7,0.75,212.79,1.1125,-1.1125,7.3266,-7.3266,3.2067,-3.2067
0.775,0.75,0.8,207.8,1.17,-1.17,7.172,-7.172,3.3738,-3.3738
0.825,0.8,0.85,200.98,1.1782,-1.1782,7.0588,-7.0588,3.2955,-3.2955
0.875,0.85,0.9,193.21,1.1852,-1.1852,6.8308,-6.8308,3.249,-3.249
0.925,0.9,0.95,181.89,1.2043,-1.2043,6.5005,-6.5005,3.3554,-3.3554
0.975,0.95,1.0,171.41,1.1937,-1.1937,5.9981,-5.9981,2.8011,-2.8011
1.05,1.0,1.1,153.9,0.80897,-0.80897,5.355,-5.355,2.4855,-2.4855
1.15,1.1,1.2,132.73,0.79034,-0.79034,4.7381,-4.7381,2.3953,-2.3953
1.25,1.2,1.3,112.97,0.7735,-0.7735,4.2779,-4.2779,2.3675,-2.3675
1.35,1.3,1.4,95.543,0.74228,-0.74228,3.6503,-3.6503,2.029,-2.029
1.45,1.4,1.5,80.706,0.69165,-0.69165,3.07,-3.07,1.7017,-1.7017
1.55,1.5,1.6,68.159,0.61886,-0.61886,2.5491,-2.5491,1.4473,-1.4473
1.65,1.6,1.7,57.126,0.5807,-0.5807,2.1139,-2.1139,1.1935,-1.1935
1.75,1.7,1.8,47.442,0.41833,-0.41833,1.4659,-1.4659,0.94986,-0.94986
1.85,1.8,1.9,39.042,0.45094,-0.45094,1.3982,-1.3982,0.82528,-0.82528
1.95,1.9,2.0,32.248,0.49376,-0.49376,1.3282,-1.3282,0.67485,-0.67485
2.1,2.0,2.2,24.065,0.36587,-0.36587,1.1107,-1.1107,0.49234,-0.49234
2.3,2.2,2.4,16.046,0.35222,-0.35222,0.8054,-0.8054,0.30951,-0.30951
2.5,2.4,2.6,10.946,0.27235,-0.27235,0.5309,-0.5309,0.18405,-0.18405
2.7,2.6,2.8,7.4551,0.20222,-0.20222,0.34948,-0.34948,0.12876,-0.12876
2.9,2.8,3.0,5.0432,0.17623,-0.17623,0.25599,-0.25599,0.085388,-0.085388
3.1,3.0,3.2,3.5739,0.097598,-0.097598,0.20611,-0.20611,0.071019,-0.071019
3.3,3.2,3.4,2.3833,0.062698,-0.062698,0.14267,-0.14267,0.038138,-0.038138
3.5,3.4,3.6,1.6533,0.046165,-0.046165,0.11221,-0.11221,0.024628,-0.024628
