#: table_doi: 10.17182/hepdata.104923.v1/t5
#: name: Table 5
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_5.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE,,,PB PB --> P X, PB PB --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,19.63,0.30223,-0.30223,1.8747,-1.8747,0.61548,-0.61548
0.375,0.35,0.4,22.065,0.273,-0.273,1.9324,-1.9324,0.69152,-0.69152
0.42500000000000004,0.4,0.45,25.729,0.27353,-0.27353,2.0184,-2.0184,0.80881,-0.80881
0.475,0.45,0.5,26.599,0.11861,-0.11861,1.4984,-1.4984,0.1895,-0.1895
0.525,0.5,0.55,29.029,0.12259,-0.12259,1.4606,-1.4606,0.29851,-0.29851
0.575,0.55,0.6,31.572,0.14377,-0.14377,1.521,-1.521,0.4541,-0.4541
0.625,0.6,0.65,31.837,0.056754,-0.056754,2.4511,-2.4511,0.88006,-0.88006
0.675,0.65,0.7,33.173,0.061202,-0.061202,3.392,-3.392,0.99905,-0.99905
0.725,0.7,0.75,34.681,0.065617,-0.065617,4.5335,-4.5335,1.2176,-1.2176
0.775,0.75,0.8,36.87,0.075206,-0.075206,6.4132,-6.4132,1.5465,-1.5465
0.825,0.8,0.85,34.279,0.15152,-0.15152,1.3941,-1.3941,0.78662,-0.78662
0.875,0.85,0.9,36.002,0.15971,-0.15971,1.3826,-1.3826,0.87336,-0.87336
0.925,0.9,0.95,37.685,0.17329,-0.17329,1.4168,-1.4168,0.95452,-0.95452
0.975,0.95,1.0,38.159,0.17922,-0.17922,1.4666,-1.4666,0.98522,-0.98522
1.05,1.0,1.1,38.122,0.13116,-0.13116,1.3437,-1.3437,1.0833,-1.0833
1.15,1.1,1.2,38.924,0.14099,-0.14099,1.4022,-1.4022,1.1876,-1.1876
1.25,1.2,1.3,39.512,0.15346,-0.15346,1.4842,-1.4842,1.2878,-1.2878
1.35,1.3,1.4,39.003,0.16142,-0.16142,1.5342,-1.5342,1.2421,-1.2421
1.45,1.4,1.5,37.157,0.16199,-0.16199,1.4303,-1.4303,1.1715,-1.1715
